"","ecoff.zd","ecoff.calc","num.comp","num.obs"
"1",18,7.79855114039454,1,77
"2",18,20.3485294686561,2,257
"3",18,18.166360166631,1,143
"4",18,20.6318747190457,1,61
"5",18,18.5931792861287,1,189
"6",18,17.5262716732104,2,2267
"7",18,17.952163420769,1,182
"8",18,17.9359764548378,2,441
"9",18,19.2354811698326,1,206
"10",18,18.8929631327532,2,538
"11",18,19.6113765913775,2,974
"12",19,17.5691959279956,2,1194
"13",15,11.2467413421638,1,251
"14",18,20.0935627629262,2,151
"15",18,18.305854306021,2,371
"16",29,29.248857231645,2,106
"17",17,18.3242256405149,2,313
"18",22,23.5243514537314,2,244
"19",14,6.36773587888957,1,563
"20",14,5.24212560119228,1,434
"21",14,5.89451198724296,1,927
"22",10,14.2676158748722,3,9913
"23",10,5.79635722871221,1,1687
"24",14,13.983606745807,2,46281
"25",16,18.2316637198808,2,759
"26",14,4.44332287168563,1,388
"27",14,6.15322424980403,2,1405
"28",14,6.5122583409013,2,4522
"29",16,17.4632357064737,2,657
"30",14,4.39217927582307,1,302
"31",17,18.926237586823,2,369
"32",14,19.4542242229081,2,2533
"33",18,20.3605369413365,2,421
"34",14,6.40121186683559,1,197
"35",18,18.3622733942779,2,1634
"36",28,27.6665188873837,2,204
"37",17,18.0507033722172,2,742
"38",14,12.177186992369,1,243
"39",12,13.6823008386971,2,829
"40",25,26.7625876881654,2,75
"41",25,25.7401345071793,2,97
"42",26,27.0340177475716,2,280
"43",25,24.4520851375886,2,138
"44",25,25.7822402177195,2,217
"45",31,32.8523070914252,1,149
"46",18,19.9629182169883,2,574
"47",12,14.059111271136,2,3493
"48",13,15.4426392604173,3,387
"49",17,17.3022989052272,2,303
"50",26,10.0511098721969,3,3420
"51",19,18.545411964123,2,2177
"52",26,25.8493075171552,2,1046
"53",19,19.2843821582554,2,3865
"54",28,28.7253933316871,2,203
"55",12,14.508531186819,2,42472
"56",15,15.4762960124049,2,3948
"57",14,15.2601892559695,2,6584
"58",14,18.5173946313912,2,1669
"59",14,16.4078912145885,2,775
"60",28,28.3550677922649,2,280
"61",27,24.8131072195482,1,308
"62",24,27.2575952352905,2,216
"63",18,22.5440282324418,2,541
"64",17,19.2608604479875,2,520
"65",25,26.4829696784058,2,307
"66",23,23.7305705978843,3,44986
"67",26,20.7542985686818,2,3809
"68",21,22.7046068272802,2,4646
"69",26,28.813315559882,2,158
"70",20,23.1632308498785,2,808
"71",19,-1.48099439341608,1,77
"72",19,4.52409840584497,1,106
"73",19,19.1006347795459,2,1862
"74",19,0,0,0
"75",19,0,0,0
"76",19,19.1256030540034,2,376
"77",19,12.8172364081966,1,16
"78",19,22.7241571346126,2,150
"79",21,21.4715043702317,2,276
"80",22,25.6916815500229,4,26134
"81",22,6.1495891203649,2,1165
"82",22,22.3837690242536,1,1763
"83",25,23.097664848792,2,1432
"84",22,26.571889609841,2,1006
"85",35,34.354236211194,2,486
"86",26,23.7959914074699,2,308
"87",23,24.1699444312266,2,1022
"88",23,22.7691463755709,2,212
"89",22,15.6475585681724,2,814
"90",22,15.9892953366999,1,90
"91",22,20.5188950068622,1,90
"92",22,21.5767853907757,4,45105
"93",19,21.0587603800259,2,4752
"94",16,18.6655231755451,2,4160
"95",20,21.3190020556676,2,582
"96",24,24.4144423344071,2,11875
"97",25,27.4440783714198,2,306
"98",25,27.7033344889063,2,1161
"99",25,25.6092392257733,1,294
"100",30,27.8779454392933,1,308
"101",23,26.3992164019794,2,142
"102",18,18.0862902404521,2,334
"103",26,26.7971192497699,2,262
"104",18,21.2405245790522,2,217
"105",17,17.6407387129887,2,269
"106",28,30.4428612635252,2,448
"107",17,20.7145983648627,2,171
"108",31,31.8247625325269,1,168
"109",19,20.8221880238416,2,366
"110",18,19.7450561268015,2,618
"111",23,23.8007585504214,2,155
"112",24,22.1735195402184,2,324
"113",26,28.7616105172264,2,303
"114",26,27.7610849957684,2,1568
"115",25,28.1128341053458,4,36774
"116",30,31.1394768841835,1,539
"117",22,24.3456932561555,2,4027
"118",25,27.0235373417767,1,385
"119",27,28.3544093106731,2,312
"120",25,26.2826333135584,2,4096
"121",20,18.4990518680976,2,1311
"122",24,25.6677435458427,2,551
"123",22,22.4957987211253,2,499
"124",20,18.9341095774354,2,156
"125",22,22.4855083713138,3,25852
"126",22,22.188255749875,2,1079
"127",22,25.4357234263722,2,1002
"128",19,18.9997977798803,2,1087
"129",19,19.7059232425925,2,2943
"130",17,18.928765566685,2,3217
"131",27,29.0383409234794,2,610
"132",22,20.5639136063505,1,257
"133",24,25.4022726456352,1,158
"134",33,34.6504869237252,1,131
"135",27,26.3270241452149,2,528
"136",24,14.6887252591258,1,382
"137",22,24.783168960161,2,2707
"138",10,10.7501828576122,1,306
"139",25,26.0241539393103,2,658
"140",23,23.3577654939428,2,389
"141",21,24.008085972374,5,26168
"142",21,22.5507614625037,2,1078
"143",25,27.0526913931265,2,1002
"144",21,21.6662059269629,2,1086
"145",21,22.1297346180474,2,353
"146",21,21.766035987734,3,693
"147",22,21.9753491217694,3,2942
"148",21,21.4692471192359,3,3208
"149",24,24.4072677290897,3,25764
"150",24,24.1035249982764,3,1081
"151",24,0,0,0
"152",15,0,0,0
"153",20,0,0,0
"154",16,0,0,0
"155",8,0,0,0
"156",8,0,0,0
"157",16,0,0,0
"158",16,0,0,0
"159",17,0,0,0
"160",16,0,0,0
"161",15,0,0,0
"162",16,0,0,0
"163",18,0,0,0
"164",22,0,0,0
"165",22,0,0,0
"166",21,0,0,0
"167",21,0,0,0
"168",24,0,0,0
"169",20,0,0,0
"170",23,0,0,0
"171",32,0,0,0
"172",20,0,0,0
"173",25,0,0,0
"174",30,0,0,0
"175",24,0,0,0
"176",28,0,0,0
"177",20,0,0,0
"178",24,0,0,0
"179",18,0,0,0
"180",19,0,0,0
"181",19,0,0,0
"182",19,0,0,0
"183",19,0,0,0
"184",19,0,0,0
"185",19,0,0,0
"186",22,0,0,0
"187",20,0,0,0
"188",19,0,0,0
"189",25,0,0,0
"190",25,0,0,0
"191",25,0,0,0
"192",25,0,0,0
"193",23,0,0,0
"194",25,0,0,0
"195",25,0,0,0
"196",25,0,0,0
"197",25,0,0,0
"198",37,0,0,0
"199",25,0,0,0
"200",24,0,0,0
"201",27,0,0,0
"202",25,0,0,0
"203",24,0,0,0
"204",29,0,0,0
"205",23,0,0,0
"206",23,0,0,0
"207",23,0,0,0
"208",23,0,0,0
"209",23,0,0,0
"210",23,0,0,0
"211",23,0,0,0
"212",25,0,0,0
"213",23,0,0,0
"214",23,0,0,0
"215",24,0,0,0
"216",23,0,0,0
"217",23,0,0,0
"218",29,0,0,0
"219",23,0,0,0
"220",26,0,0,0
"221",24,0,0,0
"222",27,0,0,0
"223",24,0,0,0
"224",20,0,0,0
"225",22,0,0,0
"226",30,0,0,0
"227",23,0,0,0
"228",23,0,0,0
"229",23,0,0,0
"230",12,0,0,0
"231",12,0,0,0
"232",12,0,0,0
"233",14,0,0,0
"234",15,0,0,0
"235",12,0,0,0
"236",18,0,0,0
"237",22,0,0,0
"238",22,0,0,0
"239",22,0,0,0
"240",22,0,0,0
"241",22,0,0,0
"242",22,0,0,0
"243",15,0,0,0
"244",11,0,0,0
"245",16,0,0,0
"246",17,0,0,0
"247",12,0,0,0
"248",25,0,0,0
"249",22,0,0,0
"250",17,0,0,0
"251",17,0,0,0
"252",17,0,0,0
"253",17,0,0,0
"254",12,0,0,0
"255",15,0,0,0
"256",15,0,0,0
"257",12,0,0,0
"258",15,0,0,0
"259",24,0,0,0
"260",30,0,0,0
"261",22,0,0,0
"262",27,0,0,0
"263",20,0,0,0
"264",20,0,0,0
"265",15,0,0,0
"266",20,0,0,0
"267",24,0,0,0
"268",19,0,0,0
"269",19,0,0,0
"270",19,0,0,0
"271",20,0,0,0
"272",17,0,0,0
"273",17,0,0,0
"274",20,0,0,0
"275",20,0,0,0
"276",19,0,0,0
"277",19,0,0,0
"278",19,0,0,0
"279",19,0,0,0
"280",19,0,0,0
"281",20,0,0,0
"282",17,0,0,0
"283",17,0,0,0
"284",20,0,0,0
"285",20,0,0,0
"286",19,0,0,0
"287",21,0,0,0
"288",23,0,0,0
"289",21,0,0,0
"290",20,0,0,0
"291",25,0,0,0
"292",26,0,0,0
"293",20,0,0,0
"294",23,0,0,0
"295",23,0,0,0
"296",25,0,0,0
"297",23,0,0,0
"298",16,0,0,0
"299",16,0,0,0
"300",15,0,0,0
"301",18,0,0,0
"302",12,0,0,0
"303",23,0,0,0
"304",22,0,0,0
"305",22,0,0,0
"306",25,0,0,0
"307",22,0,0,0
"308",30,0,0,0
"309",30,0,0,0
"310",25,0,0,0
"311",25,0,0,0
"312",24,0,0,0
"313",17,0,0,0
"314",22,0,0,0
"315",22,0,0,0
"316",24,0,0,0
"317",22,0,0,0
"318",22,0,0,0
"319",25,0,0,0
"320",22,0,0,0
"321",23,0,0,0
"322",18,0,0,0
"323",17,0,0,0
"324",17,0,0,0
"325",17,0,0,0
"326",17,0,0,0
"327",16,0,0,0
"328",16,0,0,0
"329",16,0,0,0
"330",16,0,0,0
"331",16,0,0,0
"332",16,0,0,0
"333",16,0,0,0
"334",16,0,0,0
"335",16,0,0,0
"336",16,0,0,0
"337",16,0,0,0
"338",18,0,0,0
"339",22,0,0,0
"340",22,0,0,0
"341",22,0,0,0
"342",20,0,0,0
"343",20,0,0,0
"344",19,0,0,0
"345",21,0,0,0
"346",20,0,0,0
"347",20,0,0,0
"348",18,0,0,0
"349",23,0,0,0
"350",19,0,0,0
"351",23,0,0,0
"352",23,0,0,0
"353",23,0,0,0
"354",23,0,0,0
"355",16,0,0,0
"356",23,0,0,0
"357",19,0,0,0
"358",29,0,0,0
"359",16,0,0,0
"360",23,0,0,0
"361",17,0,0,0
"362",16,0,0,0
"363",20,0,0,0
"364",18,0,0,0
"365",12,0,0,0
"366",12,0,0,0
"367",13,0,0,0
"368",16,0,0,0
